date,time,match_number,crashNumber,players,max_bet,min_bet,total bet,total_profit
2019-04-10,00:06:56,1,55.22,11,141115,33,181941,542462
2019-04-10,00:08:11,2,1.03,13,37500,10,79021,-79021
2019-04-10,00:08:19,3,1.05,11,37500,13,74054,-74054
2019-04-10,00:08:29,4,2.26,8,35279,17,36313,-36126
2019-04-10,00:08:50,5,2.36,11,135279,22,175960,-170411
2019-04-10,00:09:13,6,2.83,8,135279,29,184760,151770
2019-04-10,00:09:38,7,324.40,13,70000,38,113085,633635
2019-04-10,00:11:22,8,2.48,12,43550,10,79456,-78316
2019-04-10,00:11:46,9,1.00,14,68550,10,115394,-115394
2019-04-10,00:11:54,10,11.48,14,62500,10,110512,330573
2019-04-10,00:12:43,11,2.50,14,33820,10,42577,-42360
2019-04-10,00:13:06,12,2.10,15,51733,10,100965,-92794
2019-04-10,00:13:26,13,1.45,16,65982,10,121112,-118693
2019-04-10,00:13:41,14,1.08,16,33820,10,55469,-55469
2019-04-10,00:13:50,15,1.42,15,39359,10,98998,-98987
2019-04-10,00:14:04,16,2.85,14,33820,10,55388,-52662
2019-04-10,00:14:29,17,3.23,12,45000,10,101475,-49575
2019-04-10,00:14:57,18,4.58,13,133820,10,218963,90672
2019-04-10,00:15:30,19,1.28,14,133820,10,239204,-230116
2019-04-10,00:15:43,20,3.08,17,133820,10,226885,-117561
2019-04-10,00:16:09,21,51.41,14,133820,10,252450,1152064
2019-04-10,00:17:23,22,1.03,15,133820,10,236506,-236506
2019-04-10,00:17:32,23,2.45,12,75000,10,137289,-137091
2019-04-10,00:17:55,24,1.20,14,75000,10,162327,-160396
2019-04-10,00:18:06,25,2.57,15,133455,10,252432,-118660
2019-04-10,00:18:30,26,1.06,12,74715,10,187892,-187892
2019-04-10,00:18:39,27,1.18,13,75000,10,156880,-156869
2019-04-10,00:18:50,28,2.57,13,122000,10,143716,-117486
2019-04-10,00:19:13,29,1.00,13,122000,10,172378,-172378
2019-04-10,00:19:22,30,1.14,13,37500,10,82594,-82583
2019-04-10,00:19:32,31,4.42,12,30500,10,41337,-27475
2019-04-10,00:20:05,32,4.83,11,130500,10,144607,435670
2019-04-10,00:20:39,33,13.08,13,130500,10,178289,990075
2019-04-10,00:21:30,34,6.79,11,66500,10,134730,-133160
2019-04-10,00:22:10,35,2.67,11,75000,10,141812,-141430
2019-04-10,00:22:34,36,7.87,13,75000,10,153513,194521
2019-04-10,00:23:17,37,1.65,10,93750,10,159755,-159575
2019-04-10,00:23:33,38,7.05,9,65250,13,71182,-59455
2019-04-10,00:24:14,39,8.17,10,65250,10,66212,-64751
2019-04-10,00:24:57,40,41.03,9,65250,10,65644,1575390
2019-04-10,00:26:07,41,1.20,11,39530,10,40622,-40622
2019-04-10,00:26:18,42,1.17,12,65250,10,112337,-112236
2019-04-10,00:26:29,43,2.09,10,65250,10,107072,-98865
2019-04-10,00:26:49,44,2.96,11,65250,10,113256,-88718
