match_number,crashNumber,players,ma_bet,min_bet,total bet,total_profit
1,34.74,16,25000,10,42883,116258
2,1.39,14,11000,10,20239,-20056
3,3.34,18,30000,10,52659,41198
4,2.10,14,10000,10,20566,-17274
5,1.20,13,25200,10,36249,-35990
6,1.25,9,35000,10,43813,-43522
7,1.06,12,50000,10,92176,-92176
8,1.62,9,50000,20,56764,-53490
9,1.20,9,6800,10,13242,-13097
10,2.14,7,3333,10,4494,-3139
11,1.25,8,3333,10,6594,-6411
12,15.21,10,1469,10,5325,13221
13,3.85,9,2970,10,6663,8312
14,1.54,9,3000,10,8749,-8360
15,2.69,9,5000,10,8467,5253
16,1.47,13,1750,10,6827,-6357
17,5.66,8,7500,10,13222,17827
18,4.63,10,2651,10,6602,4673
19,2.34,12,3333,10,7873,-986
20,2.84,12,3355,10,7865,4710
21,1.02,16,1454,10,7513,-7513
22,2.97,11,2000,20,6224,-1286
23,3.34,14,3000,10,9625,3311
24,2.13,19,3000,10,11098,-1191
25,6.37,16,5000,10,10070,19151
26,1.71,18,6000,10,12867,-4406
27,14.32,16,1832,10,7268,8102
28,4.25,17,2918,10,8987,9423
29,3.00,20,6000,10,18647,463
30,5.20,14,6000,10,19337,19302
31,1.35,13,2918,10,10051,-9690
32,1.55,11,2918,10,7822,-7158
33,3.22,12,8250,10,14829,10587
34,2.46,17,4000,10,15487,9197
35,2.73,12,2500,10,10372,4748
36,34.85,13,2600,10,9370,13925
37,38.59,14,2140,10,10766,19285
38,1.93,14,2371,10,9338,-2858
39,1.31,10,3722,10,9148,-7583
40,1.53,10,1800,10,5853,-3474
41,1.15,6,2222,20,3765,-3743
42,1.06,7,6960,10,10069,-10069
43,1.87,7,7000,20,14792,-12721
44,1.96,9,7000,10,22437,-12787
45,1.76,9,10400,10,23764,-22178
46,11.21,10,21000,10,45069,71694
47,1.59,18,8353,10,22820,-21125
48,41.83,17,8353,10,29216,63226
49,2.45,20,10400,10,28439,11544
50,1.05,15,6181,10,16188,-16188
51,1.24,11,7000,20,18889,-11727
52,2.75,10,8800,10,14223,11781
53,1.25,12,8356,10,18101,-18132
54,1.01,6,9356,10,12833,-12833
55,2.84,9,19356,20,23138,23288
56,1.73,11,8093,10,20875,-10344
57,1.97,12,10067,10,21559,-2406
58,2.49,12,9500,10,17124,8654
59,1.55,13,5520,10,11687,-10623
60,1.96,12,6000,10,15999,-7302
61,1.52,14,10070,10,33984,-15946
62,1.37,9,25000,10,33150,-33139
63,1.37,8,25000,10,27184,-27173
64,3.27,11,25000,10,29725,-26564
65,1.48,10,20000,10,25588,-24925
66,1.13,5,999,10,1417,-1406
67,2.86,4,88,10,152,143
68,1.98,8,1487,10,3508,1328
69,1.25,13,9003,10,13444,-2342
70,1.41,10,2250,10,4886,-4647
71,1.39,8,8859,10,9883,-9644
72,1.00,9,3000,10,3917,-3917
73,6.34,9,26000,10,32327,12544
74,5.01,5,354,10,543,-406
75,1.02,7,2250,10,5086,-5086
76,1.00,5,1870,20,2431,-2431
77,1.65,4,354,40,581,-537
78,1.68,8,8005,10,13269,267
79,30.30,9,15952,10,25812,42434
80,1.34,9,2400,10,6267,-4697
81,1.18,6,20737,10,21625,-21258
82,4.26,4,354,10,562,-173
83,1.17,3,55000,10,55151,-55140
84,1.29,7,8005,10,9189,-8488
85,47.96,8,16010,10,18538,24682
86,2.60,9,70510,10,74324,15337
87,1.20,4,1000,15,1595,-1595
88,26.62,5,500,15,1335,6855
89,1.00,4,1500,15,2010,-2010
90,14.09,4,3500,15,4613,4008
91,1.16,2,354,141,495,-495
92,1.58,5,2390,88,3384,-3384
93,4.83,4,1468,15,1821,3133
94,2.50,9,800,15,3194,1052
95,3.96,9,1500,100,6291,8267
96,1.53,12,3850,10,16386,-13003
97,1.24,7,10006,50,15778,-15983
98,76.32,9,10006,50,19758,37738
99,1.47,8,2573,10,9820,-7330
100,1.92,8,2573,10,8377,-5967
101,1.47,23,4405,10,18715,-14984
102,18.44,13,3860,10,16339,37702
103,2.23,16,10006,10,18511,-2418
104,1.72,12,4000,10,9689,-6071
105,1.21,11,2000,10,5813,-3781
106,2.15,16,5146,10,16954,-10859
107,29.80,18,5579,10,25142,53684
108,2.05,14,2222,10,11347,-8685
109,1.17,10,2222,10,6325,-4081
110,1.89,12,25005,50,38062,-6071
111,1.54,13,5146,10,17185,-11700
112,1.00,19,12503,10,31616,-31616
113,1.69,15,92503,10,111645,-966
114,2.20,14,3500,10,15165,-14450
115,1.92,15,12500,10,37028,-7432
116,1.17,15,12192,10,32597,-32597
117,1.00,12,14000,10,32555,-32555
118,1.98,11,10584,10,25031,-14398
119,1.07,16,25000,10,56793,-46996
120,1.61,7,35782,70,49440,-49356
121,6.19,17,763393,10,795652,125914
122,2.46,16,20000,10,31778,-20258
123,9.40,13,4444,10,19015,23843
124,10.24,12,9700,10,38394,43801
125,1.00,18,4444,10,14026,-14026
