match_number,date,hour,value,total_bet_red,total_bet_green,total_bet_black,total_bet
1,2019-04-14,01:27:53,2,4665,4351,802,9818
2,2019-04-14,01:28:15,9,7662,5758,686,14106
3,2019-04-14,01:28:41,6,2151,6744,204,9099
4,2019-04-14,01:29:05,4,2502,3056,4049,9607
5,2019-04-14,01:29:30,1,552,7905,3701,12158
6,2019-04-14,01:29:56,14,411,2205,4493,7109
7,2019-04-14,01:30:20,12,849,2265,2740,5854
8,2019-04-14,01:30:46,11,3040,7164,52,10256
9,2019-04-14,01:31:10,3,549,4667,4658,9874
10,2019-04-14,01:31:36,10,850,5248,2711,8809
11,2019-04-14,01:32:01,1,49,4163,2002,6214
12,2019-04-14,01:32:26,10,7102,3654,299,11055
13,2019-04-14,01:32:51,6,49,5498,3502,9049
14,2019-04-14,01:33:16,6,3595,2112,49,5756
15,2019-04-14,01:33:40,11,1004,4461,49,5514
16,2019-04-14,01:34:06,8,1,4605,50,4656
17,2019-04-14,01:34:31,13,251,3326,2052,5629
18,2019-04-14,01:34:56,13,1999,1694,1258,4951
19,2019-04-14,01:35:21,13,669,1731,1164,3564
20,2019-04-14,01:35:46,14,2119,2457,80,4656
21,2019-04-14,01:36:10,1,3833,479,500,4812
22,2019-04-14,01:36:36,8,1964,1727,1594,5285
23,2019-04-14,01:37:01,9,1251,1512,826,3589
24,2019-04-14,01:37:26,8,2599,3249,474,6322
25,2019-04-14,01:37:51,2,1,347,682,1030
26,2019-04-14,01:38:16,11,1366,3842,49,5257
27,2019-04-14,01:38:41,5,1,2562,426,2989
28,2019-04-14,01:39:06,3,47453,1000,49,48502
29,2019-04-14,01:39:31,5,2234,3615,1,5850
30,2019-04-14,01:39:56,8,620,3006,101,3727
31,2019-04-14,01:40:21,14,1934,1639,50,3623
32,2019-04-14,01:40:46,11,1,147,302,450
33,2019-04-14,01:41:11,6,2770,1844,122,4736
34,2019-04-14,01:41:36,12,1074,1841,3001,5916
35,2019-04-14,01:42:01,14,25,5785,2,5812
36,2019-04-14,01:42:26,2,6501,3193,254,9948
37,2019-04-14,01:42:51,6,2,1736,1,1739
38,2019-04-14,01:43:16,6,1018,2063,1,3082
39,2019-04-14,01:43:41,14,5008,3903,2,8913
40,2019-04-14,01:44:06,14,6401,3650,2,10053
41,2019-04-14,01:44:31,7,6,3096,752,3854
42,2019-04-14,01:44:56,13,2404,3992,4593,10989
43,2019-04-14,01:45:21,8,951,3791,2580,7322
44,2019-04-14,01:45:46,1,4417,3246,947,8610
45,2019-04-14,01:46:11,12,2144,3511,2060,7715
46,2019-04-14,01:46:36,10,1252,6238,3290,10780
47,2019-04-14,01:47:01,2,550,3475,654,4679
48,2019-04-14,01:47:26,5,1292,4711,3250,9253
49,2019-04-14,01:47:51,7,4222,4194,527,8943
50,2019-04-14,01:48:16,14,1828,1503,1100,4431
51,2019-04-14,01:48:41,4,1918,2152,3250,7320
52,2019-04-14,01:49:06,14,175,4614,2002,6791
53,2019-04-14,01:49:31,11,60,12663,39102,51825
54,2019-04-14,01:49:56,2,300,3712,3204,7216
55,2019-04-14,01:50:21,14,175,3197,2,3374
56,2019-04-14,01:50:46,9,1752,7087,2,8841
57,2019-04-14,01:51:11,8,650,5904,4,6558
58,2019-04-14,01:51:36,0,202,3937,6793,10932
59,2019-04-14,01:52:01,11,222,11258,2902,14382
60,2019-04-14,01:52:26,1,4002,4941,400,9343
61,2019-04-14,01:52:51,10,25581,4923,24261,54765
62,2019-04-14,01:53:16,4,50,3928,1802,5780
63,2019-04-14,01:53:41,1,4420,5108,5452,14980
64,2019-04-14,01:54:06,7,292,3056,12,3360
65,2019-04-14,01:54:31,12,3488,2908,50,6446
66,2019-04-14,01:54:56,13,3276,2260,50,5586
67,2019-04-14,01:55:21,7,4002,2571,52,6625
68,2019-04-14,01:55:46,14,2709,3904,3412,10025
69,2019-04-14,01:56:11,0,2250,3608,77,5935
70,2019-04-14,01:56:36,2,856,4858,3050,8764
71,2019-04-14,01:57:01,13,5344,6254,50,11648
72,2019-04-14,01:57:26,14,6746,3601,1002,11349
73,2019-04-14,01:57:51,14,4524,5261,4,9789
74,2019-04-14,01:58:16,14,18157,7782,1008,26947
75,2019-04-14,01:58:41,1,6035,7226,64,13325
76,2019-04-14,01:59:06,5,4050,2726,386,7162
77,2019-04-14,01:59:31,0,3052,4190,402,7644
78,2019-04-14,01:59:56,11,502,9242,5550,15294
79,2019-04-14,02:00:21,0,3112,7748,2650,13510
80,2019-04-14,02:00:46,1,5050,11681,11502,28233
81,2019-04-14,02:01:11,14,4666,9136,24002,37804
82,2019-04-14,02:01:36,10,2,5443,837,6282
83,2019-04-14,02:02:01,14,49,343,10,402
84,2019-04-14,02:02:26,1,1,5274,68,5343
85,2019-04-14,02:02:51,5,0,1690,99,1789
86,2019-04-14,02:03:16,9,528,1404,102,2034
87,2019-04-14,02:03:41,12,1549,2360,10,3919
88,2019-04-14,02:04:06,14,14001,234,58,14293
89,2019-04-14,02:04:31,13,11,957,68,1036
90,2019-04-14,02:04:56,11,11,44,68,123
91,2019-04-14,02:05:21,9,21,544,58,623
92,2019-04-14,02:05:46,5,51,368,48,467
93,2019-04-14,02:06:11,14,73,7524,1043,8640
94,2019-04-14,02:06:36,5,61,428,48,537
95,2019-04-14,02:07:01,3,5,609,49,663
96,2019-04-14,02:07:26,1,2005,635,49,2689
97,2019-04-14,02:07:51,12,35,266,4149,4450
98,2019-04-14,02:08:16,1,3159,1592,0,4751
99,2019-04-14,02:08:41,10,53,266,1,320
100,2019-04-14,02:09:06,14,31,74,48,153
101,2019-04-14,02:09:31,7,51,776,48,875
102,2019-04-14,02:09:56,12,25,2442,49,2516
103,2019-04-14,02:10:21,5,159,554,0,713
104,2019-04-14,02:10:46,10,691,4973,49,5713
105,2019-04-14,02:11:11,5,438,3129,3000,6567
106,2019-04-14,02:11:36,6,3657,1884,1505,7046
107,2019-04-14,02:12:01,13,3349,2703,3340,9392
108,2019-04-14,02:12:26,5,3260,2389,0,5649
109,2019-04-14,02:12:51,10,55,1440,3001,4496
110,2019-04-14,02:13:16,13,60,3502,1400,4962
111,2019-04-14,02:13:41,0,1022,3865,0,4887
112,2019-04-14,02:14:06,3,790,5238,1,6029
113,2019-04-14,02:14:31,8,1807,4156,937,6900
114,2019-04-14,02:14:56,9,1260,4065,0,5325
115,2019-04-14,02:15:21,7,422,3520,1548,5490
116,2019-04-14,02:15:46,6,107,2437,2549,5093
117,2019-04-14,02:16:11,3,9,857,1382,2248
118,2019-04-14,02:16:36,6,281,1439,516,2236
119,2019-04-14,02:17:01,4,2021,2032,1,4054
120,2019-04-14,02:17:26,3,3085,2743,1001,6829
121,2019-04-14,02:17:51,6,2569,1718,1537,5824
122,2019-04-14,02:18:16,11,3181,3030,8101,14312
123,2019-04-14,02:18:41,10,12,3807,7048,10867
124,2019-04-14,02:19:06,10,23522,4776,527,28825
125,2019-04-14,02:19:31,9,5042,3985,68,9095
126,2019-04-14,02:19:56,0,132,2338,68,2538
127,2019-04-14,02:20:21,3,410,3938,1,4349
128,2019-04-14,02:20:46,2,1255,2152,3501,6908
129,2019-04-14,02:21:11,2,609,3726,201,4536
130,2019-04-14,02:21:36,9,2613,2802,449,5864
131,2019-04-14,02:22:01,12,2282,1302,1049,4633
132,2019-04-14,02:22:26,7,522,4305,2249,7076
133,2019-04-14,02:22:51,7,2108,1502,1549,5159
134,2019-04-14,02:23:16,7,6917,3007,101,10025
135,2019-04-14,02:23:41,8,62,2302,201,2565
136,2019-04-14,02:24:06,14,938,2918,638,4494
137,2019-04-14,02:24:31,1,10602,3879,1705,16186
138,2019-04-14,02:24:56,13,831,3596,703,5130
139,2019-04-14,02:25:21,3,12,1505,1653,3170
140,2019-04-14,02:25:46,1,7,2124,6101,8232
141,2019-04-14,02:26:11,12,9237,1502,10381,21120
142,2019-04-14,02:26:36,13,12,2026,200,2238
143,2019-04-14,02:27:01,5,10750,3002,100,13852
144,2019-04-14,02:27:26,11,10035,502,1,10538
145,2019-04-14,02:27:51,9,12,24522,248,24782
146,2019-04-14,02:28:16,9,722,10472,1148,12342
147,2019-04-14,02:28:41,0,2605,1981,2848,7434
148,2019-04-14,02:29:06,1,3330,4082,2304,9716
149,2019-04-14,02:29:31,0,2512,3899,249,6660
150,2019-04-14,02:29:56,11,5420,1880,1971,9271
151,2019-04-14,02:30:21,0,4841,1824,864,7529
152,2019-04-14,02:30:47,0,2976,2473,355,5804
153,2019-04-14,02:31:11,2,2930,2698,613,6241
154,2019-04-14,02:31:36,7,1067,2853,4253,8173
155,2019-04-14,02:32:02,2,1621,2372,1169,5162
156,2019-04-14,02:32:26,4,22285,17379,6501,46165
157,2019-04-14,02:32:51,0,10885,10987,1,21873
158,2019-04-14,02:33:16,9,26978,10653,49,37680
159,2019-04-14,02:33:41,1,42522,12019,1068,55609
160,2019-04-14,02:34:06,3,5055,15684,6204,26943
161,2019-04-14,02:34:31,12,10235,8407,1101,19743
162,2019-04-14,02:34:56,13,1348,3406,100,4854
163,2019-04-14,02:35:21,5,14070,1020,534,15624
164,2019-04-14,02:35:46,8,22355,8814,1,31170
165,2019-04-14,02:36:11,0,12,552,796,1360
166,2019-04-14,02:36:36,7,50022,17576,49,67647
167,2019-04-14,02:37:02,10,20485,3347,751,24583
168,2019-04-14,02:37:26,11,362,351,0,713
169,2019-04-14,02:37:51,2,51170,10898,1800,63868
170,2019-04-14,02:38:17,4,103,5191,1,5295
171,2019-04-14,02:38:42,8,1683,14441,3001,19125
172,2019-04-14,02:39:07,0,512,770,6300,7582
173,2019-04-14,02:39:32,6,32622,20772,349,53743
174,2019-04-14,02:39:56,2,20107,10792,349,31248
175,2019-04-14,02:40:22,3,13796,11948,1784,27528
176,2019-04-14,02:40:47,5,11190,15660,7406,34256
177,2019-04-14,02:41:12,7,10456,2857,4215,17528
178,2019-04-14,02:41:37,5,9438,7298,3687,20423
179,2019-04-14,02:42:02,4,19179,11701,6499,37379
180,2019-04-14,02:42:26,6,9991,12044,7806,29841
181,2019-04-14,02:42:52,7,36169,12854,1961,50984
182,2019-04-14,02:43:17,0,20841,12572,151,33564
183,2019-04-14,02:43:42,4,1482,6933,829,9244
184,2019-04-14,02:44:07,9,41915,22020,11061,74996
185,2019-04-14,02:44:32,9,42192,2610,22336,67138
186,2019-04-14,02:44:57,13,162,2957,12902,16021
187,2019-04-14,02:45:22,0,106712,2606,2406,111724
188,2019-04-14,02:45:47,1,171045,27219,2616,200880
189,2019-04-14,02:46:12,1,24489,22319,351,47159
190,2019-04-14,02:46:37,1,38807,22788,401,61996
191,2019-04-14,02:47:02,1,3868,22758,332,26958
192,2019-04-14,02:47:27,1,36314,50643,871,87828
193,2019-04-14,02:47:52,2,3490,8511,645,12646
194,2019-04-14,02:48:17,5,29713,2799,3336,35848
195,2019-04-14,02:48:42,14,20780,8148,20349,49277
196,2019-04-14,02:49:07,0,102,3635,10480,14217
197,2019-04-14,02:49:32,5,5801,12549,2075,20425
198,2019-04-14,02:49:57,7,41086,16637,21569,79292
199,2019-04-14,02:50:22,2,16208,13316,3541,33065
200,2019-04-14,02:50:47,11,11344,2502,7704,21550
201,2019-04-14,02:51:12,14,15150,22694,12310,50154
202,2019-04-14,02:51:37,4,1291,12144,15804,29239
203,2019-04-14,02:52:02,1,100794,4326,16592,121712
204,2019-04-14,02:52:27,9,6288,4122,6630,17040
205,2019-04-14,02:52:52,8,8250,4926,10872,24048
206,2019-04-14,02:53:17,1,51083,6340,4870,62293
207,2019-04-14,02:53:42,0,17455,4799,1,22255
208,2019-04-14,02:54:07,3,11992,13978,2,25972
209,2019-04-14,02:54:32,1,14991,12512,10275,37778
210,2019-04-14,02:54:57,14,12874,3097,53,16024
211,2019-04-14,02:55:22,1,31523,4743,8010,44276
212,2019-04-14,02:55:47,4,642,3746,5820,10208
